통계표,코드(구분코드),구분코드,코드(계정항목),계정항목,단위,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03
9.1.6.1. 주요국제금리,IR3TIB,단기금리,KOR,한국,% ,원자료,0.68,0.73,0.75,0.74,0.68,0.66,0.69,0.77,0.98,1.08,1.17,1.27,1.39,1.5,1.5,1.64,1.77,1.99,2.41,2.79,3.01,3.69,3.99,4.02,3.8,3.52,3.61,3.5,3.64,3.75,3.75,3.7,3.76,3.82,3.83,3.83,3.74,3.69,3.65,3.57,3.6,3.6,3.54,3.5,3.52,3.43,3.42,3.35,3.04,2.95,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,% ,원자료,0.14,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.1,0.11,0.14,0.17,0.22,0.38,0.73,0.91,1.33,1.87,2.5,2.76,3.21,3.85,4.46,4.51,4.61,4.74,4.91,5.03,5.15,5.22,5.35,5.44,5.49,5.46,5.41,5.32,5.26,5.22,5.29,5.33,5.33,5.28,5.31,5.12,4.86,4.62,4.53,4.46,4.33,4.34,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,CHN,중국,% ,원자료,3.01,3.25,3.07,2.82,2.84,2.93,2.82,2.86,2.77,2.72,2.94,3.08,3.32,3.2,3.17,2.99,2.81,2.76,2.79,2.5,2.36,2.43,2.68,2.79,2.9,2.94,3.05,2.89,2.98,2.81,2.57,2.63,2.64,2.73,2.88,3.02,2.79,2.69,2.53,2.49,2.32,2.23,2.21,2.04,2.06,2.1,2.04,2,1.94,,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,JPN,일본,% ,원자료,-0.06,-0.06,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.01,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,0,-0.01,0,-0.02,0,0,0,0.02,-0.01,0.02,0.05,0.03,0.03,0.11,0.11,0.13,0.15,0.17,0.26,0.26,0.26,0.36,0.39,0.77,,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,DEU,독일,% ,원자료,-0.55,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.55,-0.55,-0.55,-0.57,-0.58,-0.56,-0.53,-0.5,-0.45,-0.39,-0.24,0.04,0.39,1.01,1.43,1.83,2.06,2.34,2.64,2.91,3.17,3.37,3.54,3.67,3.78,3.88,3.97,3.97,3.93,3.93,3.92,3.92,3.89,3.81,3.72,3.68,3.55,3.43,3.17,3.01,2.82,2.7,2.52,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,IND,인도,% ,원자료,3.21,3.26,3.27,3.33,3.37,3.44,3.43,3.35,3.31,3.47,3.56,3.58,3.63,3.79,3.78,3.93,4.7,5.02,5.31,5.58,5.81,6.29,6.46,6.39,6.41,6.69,6.88,6.81,6.86,6.76,6.72,6.8,6.84,6.89,6.93,6.95,6.96,7.03,6.92,6.89,6.94,6.83,6.75,6.64,6.64,6.46,6.46,6.47,6.59,6.45,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,GBR,영국,% ,원자료,0.03,0.05,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.16,0.13,0.16,0.53,0.81,0.99,1.13,1.31,1.57,1.84,2.23,2.91,3.39,3.52,3.78,4.01,4.21,4.33,4.52,4.73,5.09,5.49,5.53,5.52,5.4,5.36,5.22,5.2,5.21,5.2,5.18,5.16,5.16,5.09,4.91,4.84,4.75,4.68,4.64,4.55,4.44,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,FRA,프랑스,% ,원자료,-0.55,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.55,-0.55,-0.55,-0.57,-0.58,-0.56,-0.53,-0.5,-0.45,-0.39,-0.24,0.04,0.39,1.01,1.43,1.83,2.06,2.34,2.64,2.91,3.17,3.37,3.54,3.67,3.78,3.88,3.97,3.97,3.93,3.93,3.92,3.92,3.89,3.81,3.72,3.68,3.55,3.43,3.17,3.01,2.82,2.7,2.52,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,CAN,캐나다,% ,원자료,0.2,0.18,0.19,0.18,0.18,0.19,0.2,0.21,0.22,0.23,0.26,0.27,0.46,0.62,0.88,1.35,1.78,2.25,3.01,3.38,3.79,4.23,4.38,4.55,4.76,4.69,4.78,4.8,4.79,5.02,5.22,5.23,5.23,5.32,5.24,5.19,5.17,5.09,5.04,5.02,4.99,4.83,4.7,4.23,4.04,3.71,3.48,3.2,3.06,2.84,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,ITA,이탈리아,% ,원자료,-0.55,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.55,-0.55,-0.55,-0.57,-0.58,-0.56,-0.53,-0.5,-0.45,-0.39,-0.24,0.04,0.39,1.01,1.43,1.83,2.06,2.34,2.64,2.91,3.17,3.37,3.54,3.67,3.78,3.88,3.97,3.97,3.93,3.93,3.92,3.92,3.89,3.81,3.72,3.68,3.55,3.43,3.17,3.01,2.82,2.7,2.52,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,BRA,브라질,% ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,AUS,오스트레일리아,% ,원자료,0.01,0.01,0.03,0.04,0.04,0.03,0.02,0.01,0.01,0.04,0.04,0.06,0.07,0.07,0.17,0.41,1,1.6,2.07,2.31,2.76,2.95,3.06,3.17,3.32,3.46,3.64,3.66,3.9,4.25,4.3,4.15,4.13,4.21,4.38,4.35,4.35,4.34,4.35,4.37,4.36,4.39,4.46,4.38,4.42,4.41,4.42,4.44,4.33,4.17,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,MEX,멕시코,% ,원자료,4.44,4.33,4.24,4.25,4.26,4.31,4.58,4.71,4.8,5.06,5.27,5.62,5.87,6.18,6.57,6.98,7.38,7.84,8.35,8.81,9.22,9.9,10.39,10.82,10.94,11.27,11.51,11.64,11.59,11.51,11.5,11.5,11.51,11.51,11.51,11.5,11.66,11.65,11.61,11.41,11.4,11.39,11.4,11.23,11.14,10.89,10.8,10.64,10.38,9.96,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,IDN,인도네시아,% ,원자료,4.05,3.96,3.76,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.76,3.98,4.48,5.32,5.87,6.4,6.65,6.76,6.77,6.76,6.76,6.75,6.75,6.74,6.74,6.81,6.95,6.95,6.94,6.94,6.93,6.99,7.18,7.18,7.18,7.18,7.08,6.92,6.92,6.92,6.81,6.69,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,CHE,스위스,% ,원자료,-0.73,-0.73,-0.73,-0.73,-0.74,-0.74,-0.74,-0.74,-0.82,-0.73,-0.69,-0.72,-0.71,-0.68,-0.68,-0.67,-0.69,-0.51,-0.11,-0.02,0.15,0.53,0.54,0.74,0.99,1,1.36,1.45,1.45,1.59,1.72,1.77,1.77,1.77,1.73,1.65,1.69,1.7,1.5,1.5,1.5,1.43,1.19,1.07,1.02,0.89,0.81,0.6,0.41,0.37,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,SWE,스웨덴,% ,원자료,-0.15,-0.13,-0.16,-0.15,-0.15,-0.16,-0.16,-0.16,-0.17,-0.21,-0.35,-0.38,-0.16,-0.14,-0.22,-0.1,0.31,0.51,0.78,1.13,1.51,1.6,1.68,2.02,2.66,3.04,3.25,3.41,3.5,3.54,3.71,3.79,3.83,3.96,4.1,4.03,3.97,4.04,4.05,3.95,3.79,3.68,3.58,3.37,3.14,2.92,2.67,2.45,2.33,2.28,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,NOR,노르웨이,% ,원자료,0.48,0.45,0.38,0.3,0.24,0.2,0.32,0.42,0.67,0.74,0.83,1.02,1.1,1.17,1.32,1.27,1.24,1.68,2.24,2.6,2.94,3.33,3.51,3.26,3.27,3.25,3.69,3.74,3.94,4.37,4.68,4.72,4.72,4.72,4.69,4.73,4.71,4.71,4.73,4.72,4.71,4.73,4.76,4.74,4.73,4.7,4.7,4.68,4.61,4.51,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,ZAF,남아프리카 공화국,% ,원자료,3.81,3.77,3.82,3.77,3.61,3.76,3.87,3.73,3.84,3.76,3.81,3.87,3.87,2.98,4.22,4.3,4.46,5.13,5.39,5.74,5.78,6.12,6.18,6.61,6.47,6.58,7.09,7.72,8.04,8.49,8.57,8.44,8.32,8.55,8.51,8.45,8.48,8.46,8.45,8.43,8.53,8.53,8.45,8.23,8.1,8,7.92,7.8,7.75,7.42,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,DNK,덴마크,% ,원자료,-0.24,-0.23,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.28,-0.28,-0.27,-0.29,-0.27,-0.24,-0.21,-0.15,0.01,0.28,0.69,1.34,1.8,2.09,2.33,2.62,2.86,3.07,3.28,3.4,3.56,3.72,3.8,3.91,3.97,3.95,3.91,3.89,3.88,3.88,3.82,3.73,3.65,3.59,3.45,3.34,3.08,2.89,2.76,2.62,2.46,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,NZL,뉴질랜드,% ,원자료,0.28,0.28,0.33,0.34,0.35,0.33,0.4,0.54,0.57,0.7,0.83,0.91,1.03,1.21,1.49,1.81,2.22,2.68,3.03,3.31,3.64,4,4.24,4.53,4.81,5.01,5.15,5.49,5.67,5.68,5.67,5.64,5.68,5.68,5.63,5.63,5.64,5.71,5.64,5.63,5.62,5.62,5.55,5.3,5.05,4.65,4.42,4.27,4.05,3.81,
