차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,차량 구분
IONIQ (EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
i30 (PD),2695,2910.0,3392.0,3294.0,3376.0,2799.0,3166.0,2323.0,2920.0,3326.0,3151.0,2616.0,2024,
i30 (PD N),493,369.0,878.0,630.0,455.0,623.0,106.0,69.0,58.0,32.0,15.0,38.0,2024,
i40 (VF),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
Ioniq6 EV (CE_EV),683,452.0,986.0,591.0,453.0,541.0,370.0,348.0,738.0,398.0,427.0,644.0,2024,
G80 (DH),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
ix20 (JC),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
Bayon (BC3 CUV),2596,2431.0,3072.0,2321.0,2625.0,2689.0,1806.0,1490.0,2878.0,2002.0,2501.0,1830.0,2024,
Casper (AX EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,2024,
Kona (OS),5,2.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2024,
Kona (EV),57,22.0,27.0,8.0,2.0,5.0,3.0,0.0,11.0,0.0,1.0,0.0,2024,
Kona (Ose- EV),201,666.0,154.0,42.0,40.0,38.0,16.0,4.0,5.0,1.0,3.0,4.0,2024,
Kona (HEV),9,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2024,
Kona N,21,6.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2024,
Kona (SX2),1454,1503.0,2401.0,1588.0,1722.0,1652.0,1209.0,768.0,1032.0,1124.0,1202.0,839.0,2024,
Kona (SX2 HEV),1779,1540.0,2784.0,3449.0,3291.0,3974.0,3240.0,2324.0,3448.0,2784.0,2617.0,2256.0,2024,
Kona (SXe_EV),1330,1817.0,3172.0,2341.0,2347.0,2672.0,2396.0,1904.0,3509.0,2622.0,2021.0,2345.0,2024,
Tucson (TLe),0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
Tucson (NX4e),3949,4372.0,6706.0,4153.0,5081.0,5239.0,4218.0,3048.0,4665.0,4148.0,4811.0,3839.0,2024,
Tucson (NX4e HEV),3725,3287.0,6124.0,4289.0,4181.0,5065.0,5024.0,2960.0,6658.0,4637.0,4885.0,4374.0,2024,
Tucson (NX4e PHEV),1195,842.0,1987.0,1227.0,1530.0,1302.0,1164.0,961.0,1599.0,1315.0,1571.0,1252.0,2024,
NEXO (FE),0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,2024,
IONIQ 5 (NE),938,732.0,1415.0,1411.0,1838.0,1823.0,1395.0,817.0,1232.0,814.0,872.0,1033.0,2024,
IONIQ 5 (NE N),5,303.0,253.0,191.0,151.0,141.0,187.0,173.0,240.0,187.0,265.0,176.0,2024,
Santa-Fe (DM),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,
Santa-Fe (TM),72,42.0,47.0,36.0,13.0,13.0,7.0,5.0,2.0,0.0,0.0,0.0,2024,
Santa Fe HEV (TM HEV),170,87.0,155.0,60.0,49.0,34.0,13.0,0.0,8.0,9.0,7.0,7.0,2024,
Santa Fe PHEV (TM PHEV),203,146.0,123.0,66.0,60.0,55.0,61.0,55.0,17.0,31.0,41.0,17.0,2024,
Santa Fe HEV (MX5 HEV),0,0.0,0.0,0.0,0.0,115.0,304.0,419.0,724.0,496.0,582.0,366.0,2024,
Santa Fe PHEV (MX5 PHEV),0,0.0,0.0,0.0,1.0,323.0,288.0,269.0,393.0,357.0,309.0,382.0,2024,
Light CV,296,551.0,447.0,386.0,383.0,274.0,165.0,139.0,67.0,175.0,319.0,72.0,2024,
i10 (AC3),4224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i20 (GB),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i20 (BC3),4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i20 N (BC3 N),30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Elantra,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
IONIQ (HEV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
IONIQ (PHEV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
IONIQ (EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Sonata (DN8),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i30 (PD),2276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i30 (PD N),24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
i40 (VF),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Ioniq6 EV (CE_EV),249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
G70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
G80 (DH),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
ix20 (JC),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Bayon (BC3 CUV),1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Casper (AX EV),868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Venue (QX),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (OS),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (Ose- EV),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (HEV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (SX2),931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (SX2 HEV),2593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Kona (SXe_EV),1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Tucson (TLe),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Tucson (NX4e),2930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Tucson (NX4e HEV),4042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Tucson (NX4e PHEV),1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
NEXO (FE),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
IONIQ 5 (NE),1210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
IONIQ 5 (NE N),190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa-Fe (DM),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa-Fe (TM),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa Fe HEV (TM HEV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa Fe PHEV (TM PHEV),39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
SantaFe (MX5),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa Fe HEV (MX5 HEV),483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Santa Fe PHEV (MX5 PHEV),483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Palisade (LX2),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
GV60 (JW EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
GV70 (JK),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
GV70 EV (JK EV),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
GV80 (JX),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
Light CV,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,
