차종,판매 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,Overseas Plants,차량 구분
Veloster (JS N),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Sonata (DN8),수출,3376,3555.0,3890.0,3482.0,3756.0,2425.0,4104.0,2344.0,3329.0,5038.0,7335.0,6791.0,2023,0,
Sonata (DN8 HEV),수출,1292,1029.0,1834.0,1687.0,1408.0,1099.0,1316.0,1383.0,1334.0,1846.0,1732.0,1097.0,2023,0,
Grandeur (IG),수출,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Grandeur (IG HEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Grandeur (GN7),수출,0,538.0,546.0,509.0,306.0,509.0,160.0,304.0,90.0,31.0,183.0,101.0,2023,0,
Grandeur (GN7 HEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,11.0,108.0,2023,0,
IONIQ 6 (CE),수출,3818,4931.0,6261.0,3275.0,3728.0,5913.0,4065.0,3217.0,3272.0,2800.0,2572.0,1688.0,2023,0,
G70 (IK),수출,1201,1413.0,1825.0,1589.0,1452.0,1224.0,1223.0,1314.0,1182.0,1351.0,2539.0,778.0,2023,0,
G70 S/B (IK S/B),수출,21,5.0,33.0,12.0,27.0,2.0,8.0,0.0,13.0,39.0,7.0,16.0,2023,0,
G80 (RG3),수출,581,529.0,710.0,665.0,893.0,613.0,639.0,739.0,551.0,1097.0,634.0,694.0,2023,0,
G80 (RG3 EV),수출,150,158.0,169.0,179.0,57.0,55.0,91.0,118.0,39.0,88.0,91.0,62.0,2023,0,
G90 (HI),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
G90 (RS4),수출,207,136.0,136.0,206.0,130.0,82.0,69.0,252.0,119.0,273.0,240.0,171.0,2023,0,
Venue (QX),수출,5273,5843.0,6061.0,7467.0,5955.0,5043.0,5043.0,4529.0,4019.0,4705.0,4874.0,7252.0,2023,0,
Kona (OS),수출,8347,9277.0,9179.0,8510.0,10064.0,6556.0,5088.0,486.0,0.0,0.0,0.0,0.0,2023,0,
Kona (OS HEV),수출,1668,2110.0,2261.0,2767.0,166.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Kona (OS EV),수출,2299,3323.0,3115.0,2748.0,991.0,3437.0,2149.0,200.0,124.0,2.0,0.0,0.0,2023,0,
Kona N (OS N),수출,662,901.0,454.0,608.0,86.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Kona (SX2),수출,0,2.0,0.0,1064.0,5040.0,5057.0,6481.0,13311.0,12746.0,15416.0,15824.0,15437.0,2023,0,
Kona (SX2 HEV),수출,1,0.0,1.0,622.0,5399.0,4588.0,2779.0,3451.0,3199.0,4003.0,2819.0,3523.0,2023,0,
Kona (SX2 EV),수출,0,0.0,15.0,0.0,3.0,1.0,0.0,81.0,172.0,1962.0,1974.0,1602.0,2023,0,
Tucson (TL),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Tucson (NX4),수출,7372,6623.0,6365.0,7256.0,6755.0,7315.0,7646.0,6811.0,5856.0,8753.0,7575.0,6577.0,2023,0,
Tucson (NX4 HEV),수출,3396,4614.0,4235.0,3758.0,4471.0,4711.0,3804.0,3800.0,3428.0,4124.0,3810.0,5843.0,2023,0,
