해외 공장,차종,판매 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,공장 국가,공장명(국가),공장 코드
HMI,Xcent (AI3 4DR),수출,1452,1394.0,2701.0,3407.0,2950.0,2700.0,2685.0,2564.0,2537.0,2173.0,2153.0,2423.0,2024,인도,,
HMI,Grand i10 (AI3 5DR),수출,2821,3480.0,2675.0,2925.0,3671.0,3704.0,4564.0,4395.0,3388.0,4707.0,3376.0,4072.0,2024,인도,,
HMI,i20 (BI3 5DR),수출,226,407.0,577.0,265.0,887.0,410.0,375.0,587.0,532.0,512.0,1045.0,95.0,2024,인도,,
HMI,Verna (Hci),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,인도,,
HMI,Verna (BN7i),수출,4845,3475.0,4730.0,4499.0,4047.0,5416.0,4673.0,3563.0,4863.0,4641.0,4031.0,4054.0,2024,인도,,
HMI,Exter(AI3 SUV),수출,29,26.0,40.0,13.0,2.0,5.0,1008.0,1009.0,733.0,919.0,1165.0,553.0,2024,인도,,
HMI,Venue(QXi),수출,172,701.0,929.0,1449.0,1279.0,1015.0,591.0,1104.0,719.0,501.0,264.0,429.0,2024,인도,,
HMI,Creta(SU2i),수출,279,292.0,12.0,1.0,375.0,406.0,308.0,268.0,306.0,654.0,172.0,386.0,2024,인도,,
HMI,Creta(SU2i LWB),수출,676,525.0,936.0,941.0,1189.0,1044.0,1346.0,160.0,22.0,403.0,800.0,858.0,2024,인도,,
HAOS,i10 (AC3),내수,114,181.0,179.0,217.0,20.0,3.0,270.0,206.0,106.0,177.0,259.0,142.0,2024,터키,,
HAOS,i20 (BC3),내수,1279,966.0,1529.0,1903.0,2207.0,1774.0,1043.0,1457.0,2021.0,2020.0,2195.0,3308.0,2024,터키,,
HAOS,Bayon (BC3 CUV),내수,1186,1441.0,1200.0,1157.0,1061.0,1536.0,1182.0,1141.0,1271.0,1227.0,2496.0,2686.0,2024,터키,,
HAOS,i20 N (BC3 N),내수,49,51.0,50.0,50.0,0.0,174.0,76.0,50.0,0.0,0.0,0.0,0.0,2024,터키,,
HAOS,i10 (AC3),수출,6778,6477.0,7122.0,5594.0,7113.0,6203.0,6823.0,4089.0,7427.0,7969.0,7625.0,7268.0,2024,터키,,
HAOS,i20 (BC3),수출,7505,7370.0,9268.0,4903.0,7849.0,4710.0,7167.0,4398.0,5561.0,7223.0,7929.0,7448.0,2024,터키,,
