공장명(국가),공장코드,차종,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
슬로바키아,KMS,Venga,2515.0,2009.0,2113.0,2152.0,2315.0,2713.0,1627.0,2685.0,2611.0,2381.0,2297.0,979.0,2093.0,2071.0,2382.0,1915 ,2223.0,2239.0,1904.0,2271.0,2103.0,2294.0,2055.0,622.0,1633.0,1448.0,2156.0,2614.0,2432.0,18.0,,508.0,670.0,1469.0,1449.0,1537.0,1631.0,2017.0,2126.0,803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
슬로바키아,KMS,new cee'd,7667.0,9073.0,9008.0,8199.0,8873.0,7321.0,4076.0,8314.0,8210.0,8770.0,8428.0,6404.0,8763.0,7563.0,8662.0,8305 ,9474.0,10093.0,7047.0,6609.0,8294.0,9208.0,8695.0,6108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
슬로바키아,KMS,Cee'd,,,,,,,,,,,,,,,,,,,,,,,,,10393.0,7859.0,7147.0,4999.0,6532.0,9960.0,6466.0,8335.0,8752.0,9014.0,9124.0,6579.0,10989.0,10809.0,11111.0,12014.0,14104.0,12653.0,7012.0,7312.0,6545.0,7249.0,6906.0,6051 ,10987.0,9424.0,6947.0,2725.0,5284.0,6303.0,6010.0,6368.0,9147.0,8001.0,6259.0,3680.0,7705.0,8774.0,9306.0,8979.0,8033.0,9785.0,8282.0,6698.0,7405.0,6883.0,7108.0,5349.0,7416.0,6304.0,8585.0,6822.0,8015.0,7035.0,3469.0,5722.0,7140.0,6954.0,6503.0,6079.0,8434.0,7605.0,8496.0,7763.0,9011.0,8634.0,5532.0,6755.0,7488.0,8995.0,7765.0,5899.0,9009.0,8481.0,8289.0,7959.0,7533.0,7426.0,6685.0,5916.0,7935.0,8700.0,7268.0,5818.0,10261.0,9653.0
슬로바키아,KMS,Sportage,16118.0,18218.0,18179.0,19149.0,20412.0,21666.0,10397.0,20901.0,19979.0,19649.0,19075.0,15250.0,19244.0,19069.0,21361.0,16580 ,18805.0,20173.0,12554.0,18125.0,17308.0,20503.0,18460.0,10425.0,17374.0,18893.0,18897.0,17587.0,20436.0,19822.0,14034.0,18957.0,19678.0,23317.0,19427.0,13484.0,18180.0,15374.0,16363.0,16683.0,17896.0,17443.0,12447.0,15692.0,16547.0,18510.0,16822.0,12495 ,14690.0,14863.0,11089.0,6815.0,8992.0,11225.0,8965.0,8713.0,14419.0,17381.0,16755.0,10946.0,14304.0,14519.0,14410.0,13666.0,13139.0,12994.0,11217.0,13153.0,14084.0,16168.0,11848.0,13235.0,11267.0,13369.0,15671.0,13684.0,17716.0,17919.0,13157.0,14625.0,17625.0,16531.0,14897.0,10944.0,15308.0,18166.0,21572.0,15724.0,19675.0,20143.0,13375.0,16856.0,17363.0,19715.0,18685.0,14553.0,20059.0,19558.0,18931.0,20099.0,20926.0,18785.0,17779.0,13799.0,20344.0,21311.0,18698.0,11628.0,15245.0,17947.0
슬로바키아,KMS,C'eed CUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,241.0,5096.0,7608.0,8041.0,5772.0,3454 ,3923.0,4913.0,4064.0,1860.0,2924.0,4272.0,2825.0,2719.0,4634.0,3618.0,4186.0,2274.0,4591.0,4607.0,6184.0,4855.0,4228.0,4521.0,2901.0,3949.0,4211.0,3649.0,4444.0,2416.0,4617.0,5927.0,4944.0,4694.0,5269.0,5046.0,3574.0,3653.0,4335.0,4515.0,3900.0,3477.0,5774.0,3829.0,4132.0,3221.0,3223.0,4763.0,2900.0,3993.0,3749.0,4292.0,3950.0,2948.0,4032.0,3668.0,3080.0,3448.0,3641.0,3459.0,3036.0,1985.0,3021.0,3489.0,3135.0,2354.0,2194.0,2100.0
멕시코,KMM,K2,,,,,,,,,,,,,877.0,1992.0,2101.0,4716 ,6125.0,10733.0,10168.0,10620.0,11539.0,11479.0,9829.0,9479.0,6408.0,6354.0,7090.0,7482.0,8791.0,9614.0,9842.0,9213.0,8305.0,10679.0,10567.0,7317.0,8098.0,8504.0,9683.0,9643.0,9150.0,9157.0,8003.0,10450.0,9087.0,10501.0,9419.0,8316 ,8483.0,7245.0,9270.0,1562.0,607.0,5250.0,3802.0,4833.0,6827.0,6809.0,7653.0,7294.0,6247.0,5645.0,6573.0,5827.0,7463.0,6187.0,6620.0,6082.0,6889.0,4427.0,7144.0,5966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
멕시코,KMM,HC,,,,,,,,,,,,,0.0,3.0,24.0,0 ,4.0,14.0,887.0,1937.0,1500.0,3174.0,3252.0,3957.0,4111.0,4147.0,4716.0,4320.0,3970.0,4479.0,4779.0,4065.0,5921.0,4684.0,6329.0,4457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
멕시코,KMM,K3,0.0,,,,1931.0,9052.0,11525.0,16509.0,16638.0,16699.0,17016.0,15674.0,9324.0,10440.0,12803.0,10485 ,8093.0,9303.0,10845.0,9743.0,9271.0,9984.0,8379.0,4955.0,11682.0,11799.0,9394.0,8805.0,11444.0,9107.0,3399.0,16838.0,14234.0,16437.0,13504.0,11617.0,9846.0,10602.0,10687.0,10157.0,13668.0,13023.0,10703.0,11468.0,10728.0,11964.0,10738.0,9182 ,10062.0,9910.0,12440.0,4191.0,1321.0,10474.0,9878.0,10862.0,10905.0,12706.0,11542.0,10367.0,11853.0,9875.0,11207.0,10873.0,11217.0,11113.0,6810.0,11703.0,9921.0,9443.0,10816.0,6299.0,14304.0,8349.0,11110.0,9600.0,10786.0,13888.0,10755.0,12157.0,11695.0,13187.0,13343.0,9958.0,14634.0,11417.0,11677.0,10719.0,13966.0,14171.0,11865.0,15019.0,14524.0,14675.0,12785.0,8711.0,19585.0,19778.0,19796.0,22797.0,22895.0,21150.0,19525.0,12058.0,6170.0,5476.0,5517.0,5832.0,5207.0,5180.0
멕시코,KMM,Accent (HC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3356.0,3214.0,3630.0,3600.0,3682.0,2900.0,2908.0,4012.0,4085.0,5235.0,3599.0,3602 ,2955.0,3545.0,3600.0,869.0,192.0,571.0,1167.0,1055.0,1618.0,2585.0,2305.0,2045.0,1800.0,2480.0,3800.0,1760.0,1780.0,1660.0,1860.0,2775.0,2150.0,1290.0,1110.0,1035.0,2410.0,2460.0,2400.0,3200.0,3535.0,4400.0,2499.0,3452.0,3536.0,704.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
멕시코,KMX,Rio(pride),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9070.0,8789.0,8822.0,7793.0,8250.0,8629.0,7348.0,8609.0,8678.0,7402.0,7715.0,6729.0,15.0,72.0,0.0,108.0,0.0,0.0,0.0,,,,,,,
멕시코,KMX,K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.0,3.0,20.0,2.0,12325.0,16329.0,18439.0,16824.0,13274.0,15456.0,15287.0
멕시코,KMX,Tucson(NX4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0,2378.0,2821.0,2637.0,3048.0,2700.0,2097.0,2000.0,2000.0
인도,KMI,Seltos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,234.0,6002.0,8025.0,14636.0,17839.0,10983 ,17811.0,17593.0,10051.0,18.0,4495.0,9607.0,10675.0,14247.0,14255.0,12625.0,11389.0,8497.0,11766.0,10204.0,13596.0,10697.0,6151.0,11397.0,9035.0,11245.0,11737.0,13515.0,11167.0,6580.0,14558.0,9925.0,11715.0,12882.0,9279.0,12694.0,13090.0,13479.0,15012.0,12817.0,13479.0,12478.0,13982.0,11563.0,9786.0,10077.0,6428.0,6422.0,10828.0,11198.0,10999.0,12589.0,12568.0,10268.0,6695.0,6825.0,8568.0,7298.0,7218.0,7024.0,6279.0,6929.0,7232.0,6544.0,5643.0,3211.0,6584.0,6550.0
인도,KMI,Sonet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,9102.0,12209.0,12377.0,7627.0,10580.0,9763.0,10096.0,8822.0,9087.0,7520.0,8816.0,9146.0,5852.0,6417.0,5935.0,4613.0,9321.0,8305.0,9025.0,7509.0,9370.0,10452.0,10143.0,10553.0,11634.0,8737.0,9781.0,7527.0,11593.0,12953.0,11040.0,13950.0,11132.0,12888.0,8755.0,7994.0,9093.0,8889.0,8367.0,978.0,11843.0,9240.0,8829.0,8821.0,8270.0,11212.0,10199.0,11390.0,11564.0,11126.0,10626.0,4567.0,8259.0,8886.0
인도,KMI,Carnival (CKD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,1620.0,1117.0,0.0,50.0,161.0,232.0,190.0,331.0,400.0,400.0,251.0,328.0,400.0,45.0,301.0,146.0,503.0,358.0,379.0,404.0,400.0,636.0,207.0,357.0,283.0,328.0,355.0,239.0,285.0,288.0,274.0,333.0,301.0,419.0,88.0,1003.0,504.0,168.0,0.0,,,,,,,,,,,,,,,,,,,,,,
인도,KMI,K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6886.0,8891.0,7540.0,8400.0,9879.0,8112.0,6782.0,8540.0,8160.0,8109.0,9083.0,6390.0,,,,,,,,,,,,,,,,,,,,,,,,,,
인도,KMI,Carens MPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.0,5112.0,7081.0,6350.0,5191.0,8598.0,6498.0,6190.0,5812.0,6021.0,7027.0,4419.0,8664.0,6986.0,6709.0,6822.0,7131.0,8755.0,6823.0,5293.0,4789.0,6088.0,5205.0,3070.0,6536.0,5440.0,5704.0,6048.0,6300.0,6246.0,6512.0,6775.0,6721.0,6820.0,6093.0,3165.0,5797.0,5968.0
인도,KMI,Carnival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,241.0,103.0,293.0,239.0
인도,KMI,Syros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5546.0,5425.0
