차종,차량 유형,거래 유형,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
IONIQ 5 (NE),휴양용 차량,수출,6989,7845,7474,7474,8242,7723,7215,6725,6260,7669,7268,7403,5686,6133,7385,6397,5686,6086,7281,5686,6314,5011,5686,5686,6381,6381
IONIQ 5 N (NE N),휴양용 차량,내수,158,203,158,158,158,200,144,158,158,158,158,158,113,113,113,113,113,113,113,113,113,113,113,113,309,309
IONIQ 5 N (NE N),휴양용 차량,수출,319,319,319,319,319,319,319,319,319,319,319,319,531,531,531,531,531,531,531,531,375,496,531,531,216,241
IONIQ 6 (CE),승용차,내수,774,774,774,774,774,774,774,774,774,774,618,774,413,413,413,421,377,292,413,405,368,413,413,413,543,543
IONIQ 6 (CE),승용차,수출,3818,4931,3795,3275,3728,3795,4065,3217,3272,2800,3795,3795,1915,1915,2208,2209,1915,2406,1915,2370,1915,1915,1461,1596,2661,2661
IONIQ New Car (ME),휴양용 차량,수출,423,421,402,402,402,411,389,402,402,377,402,428,316,316,316,316,316,316,316,316,316,316,316,316,2007,2195
Kona (OS EV),휴양용 차량,내수,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Kona (OS EV),휴양용 차량,수출,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,904,904,904,904,904,904,904,904,904,904,904,904,2007,2195
Kona (OS HEV),휴양용 차량,내수,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Kona (OS HEV),휴양용 차량,수출,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1342,1462,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Kona (OS N),휴양용 차량,내수,983,983,983,983,983,983,1105,983,1196,983,1007,1201,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Kona (OS),휴양용 차량,내수,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Kona (OS),휴양용 차량,수출,5385,5385,5385,5385,5385,6556,5088,5385,5385,5385,5385,5385,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Kona (SX2 EV),휴양용 차량,내수,302,309,285,345,302,302,238,355,302,337,302,212,250,250,250,208,253,246,250,263,250,189,233,250,253,253
Kona (SX2 EV),휴양용 차량,수출,513,513,513,513,513,513,513,513,513,513,513,513,1513,1298,1407,1258,1400,1258,1126,1258,1066,1258,1258,1258,1680,1919
Kona (SX2 HEV),휴양용 차량,내수,1031,1031,989,1031,974,941,836,1153,1056,1271,1031,1031,683,655,655,482,694,653,521,701,655,810,749,834,1120,1120
Kona (SX2 HEV),휴양용 차량,수출,2533,2533,2533,2533,2533,2533,2779,2533,3199,2533,2819,2533,5863,4965,6716,7186,6871,6328,5751,5191,5074,6525,5300,6588,6421,6200
Kona (SX2),휴양용 차량,내수,1728,1728,1728,1728,1474,1529,1564,1728,1237,1326,1323,1218,1289,1466,1466,1466,1826,1694,1385,1171,1148,1330,1052,1714,1510,1754
Kona (SX2),휴양용 차량,수출,7564,7564,7564,7564,7564,7564,6481,7564,7564,7564,7564,7564,11400,12539,11660,12371,10379,9745,9697,11445,10972,11456,11400,14021,12202,13291
Kona N (OS N),휴양용 차량,수출,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
LCV,상업용 차량,내수,9542,14515,14262,12475,11628,11751,11912,8927,8414,11843,12597,9589,7923,9233,11155,11287,9757,9613,8946,8304,7753,9617,8949,8836,5826,9980
LCV,상업용 차량,수출,3049,3696,3695,4618,4013,4252,4203,3245,3804,4094,3737,3664,4620,3614,4052,4220,3614,3370,2988,3490,3007,3552,3431,3364,2891,3085
NEXO (FE),휴양용 차량,내수,307,361,361,327,410,305,371,293,361,361,361,361,229,229,268,252,229,294,229,229,268,184,229,229,277,277
NEXO (FE),휴양용 차량,수출,20,20,20,20,15,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,237,237
Palisade (LX2),휴양용 차량,내수,3922,3539,3424,4096,3553,3164,3264,3752,2935,2825,3157,3424,1741,1747,1974,1789,1335,1273,1316,1529,1704,1517,1747,2142,1287,2435
Palisade (LX2),휴양용 차량,수출,10414,9456,10062,8074,8743,9340,9980,10334,11400,10414,13347,10414,13121,11883,10199,12138,11807,12215,9986,11299,9579,13682,13991,13179,10942,13950
Palisade (LX3 HEV),휴양용 차량,내수,1072,1134,1245,1253,1228,1223,1166,1116,1160,1220,1188,1268,883,946,1056,1064,1039,1035,936,928,900,1031,992,1007,2007,2195
Palisade (LX3 HEV),휴양용 차량,수출,156,137,156,156,156,156,138,160,156,150,151,156,152,152,152,152,152,152,152,152,152,152,152,152,983,983
Palisade (LX3),휴양용 차량,내수,1538,1608,1746,1667,1537,1511,1490,1575,1368,1454,1477,1442,1561,1232,1577,1463,1485,1112,1294,1341,1594,1359,1341,1383,1234,1595
Palisade (LX3),휴양용 차량,수출,306,306,306,309,317,295,319,331,302,306,306,306,269,290,268,290,290,306,290,290,238,269,318,274,237,237
Santa-Fe (MX5 HEV),휴양용 차량,내수,4778,3905,5264,4173,3788,3515,3851,3347,4118,4669,4498,5616,5028,4972,5981,3770,3896,3540,3881,4368,4077,5741,5393,5200,3814,4764
Santa-Fe (MX5 HEV),휴양용 차량,수출,912,912,912,912,912,912,912,912,912,912,912,912,1237,1642,1642,1642,1642,1642,1733,1384,1899,1866,1832,1721,1648,1826
Santa-Fe (MX5 PHEV),휴양용 차량,수출,337,337,337,337,337,337,337,337,337,337,337,337,641,628,710,628,628,628,592,628,502,618,460,458,778,627
Santa-Fe (MX5),휴양용 차량,내수,3980,3707,4063,3285,3285,3697,2603,3285,3285,3277,3285,3285,1776,1776,1903,2077,1709,1460,1367,1347,1776,1553,2183,1776,2423,2423
Santa-Fe (MX5),휴양용 차량,수출,583,583,583,583,583,583,722,583,583,583,583,628,1714,1423,1423,1244,1423,1801,1024,1569,1423,1304,1231,1661,628,628
Santa-Fe (TM HEV),휴양용 차량,내수,1061,1052,1052,1052,1247,1052,1112,1257,1052,1052,1052,1052,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Santa-Fe (TM HEV),휴양용 차량,수출,878,842,878,878,1121,1032,878,995,878,878,878,878,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Santa-Fe (TM PHEV),휴양용 차량,수출,934,934,1200,934,934,934,934,1108,1673,934,934,934,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Santa-Fe (TM),휴양용 차량,내수,801,801,801,801,801,801,963,968,801,801,801,801,983,983,983,983,983,983,1105,983,1196,983,1007,1201,2007,2195
