지역명,차량 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Middle East/Africa,Passenger Car,6384.0,4390.0,8732.0,7862.0,7352.0,9038.0,9465.0,7370.0,7690.0,9346.0,12303.0,18648.0,6709.0,7031.0,8134.0,8469.0,7237.0,6092.0,6088.0,7192.0,6896.0,7247.0,9011.0,5841.0,7099.0,3543.0,3603.0,6345.0,5250.0,5675.0,6282.0,6237.0,5499.0,9295.0,9373.0,6330.0,5735.0,6075.0,6959.0,6671.0,7583.0,6783.0,5009.0,4253.0,4147.0,5898.0,4949.0,4661.0,2791.0,2291.0,5238.0,2729.0,4345.0,4104.0,2740.0,3968.0,2967.0,3736.0,3728.0,1995.0,3547.0,2328.0,3694.0,3403.0,3250.0,4731.0,4769.0,2784.0,4326.0,5739.0,5201.0,6505.0,3242.0,4221.0,6872.0,4164.0,4813.0,4706.0,6462.0,4264.0,4019.0,4729.0,5824.0,6389.0,4640.0,5516.0,6630.0,4975.0,4351.0,3659.0,2916.0,3204.0,2570.0,3037.0,3045.0,2769.0,1814.0,2347.0,2017.0,4217.0,3662.0,3318.0,3099.0,2071.0,1219.0,1918.0,2981.0,4674.0,2475.0,2337.0
Middle East/Africa,Recreational Vehicle,1011.0,792.0,1567.0,1499.0,1261.0,1224.0,990.0,1175.0,1652.0,2910.0,2592.0,3549.0,1272.0,1595.0,2306.0,2138.0,2761.0,1567.0,1794.0,612.0,2405.0,1399.0,2887.0,1614.0,1365.0,2113.0,3628.0,2291.0,2477.0,3547.0,3052.0,2393.0,1393.0,2502.0,4528.0,3083.0,2633.0,2580.0,2619.0,3547.0,2387.0,1780.0,2859.0,3937.0,3169.0,3677.0,4379.0,2304.0,2193.0,3483.0,2083.0,911.0,272.0,1221.0,712.0,604.0,910.0,3220.0,4435.0,1857.0,1630.0,2823.0,2414.0,2318.0,1378.0,3658.0,2917.0,1973.0,2048.0,1927.0,1235.0,3358.0,2607.0,2138.0,3074.0,2238.0,2380.0,3234.0,3791.0,2847.0,3484.0,4013.0,4504.0,5478.0,3959.0,3563.0,3317.0,3817.0,4512.0,3752.0,2486.0,3449.0,1391.0,2298.0,2543.0,1811.0,3411.0,2915.0,4083.0,2447.0,2775.0,2967.0,3530.0,2563.0,3585.0,4464.0,3039.0,7596.0,3466.0,4620.0
Middle East/Africa,Special Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,100.0,110.0,50.0,,,4.0,,52.0,4.0,,46.0,3.0,52.0,,50.0,51.0,2.0,14.0,2.0,57.0,59.0,,52.0
US,Passenger Car,11186.0,14366.0,17199.0,8597.0,5781.0,7794.0,5385.0,2911.0,4068.0,2299.0,4068.0,4998.0,3709.0,4116.0,5072.0,2342.0,1569.0,1689.0,2088.0,2442.0,2556.0,2822.0,6435.0,4176.0,2201.0,1455.0,1987.0,2367.0,1156.0,638.0,1438.0,2044.0,1102.0,2030.0,1615.0,1148.0,1704.0,601.0,1335.0,1848.0,1486.0,1201.0,397.0,1486.0,1510.0,1025.0,1389.0,976.0,552.0,418.0,1180.0,492.0,91.0,418.0,1325.0,1660.0,952.0,1073.0,833.0,727.0,737.0,1067.0,1155.0,1520.0,1078.0,1043.0,1169.0,999.0,746.0,628.0,1237.0,1285.0,790.0,784.0,379.0,796.0,508.0,622.0,422.0,602.0,241.0,745.0,1002.0,1182.0,1048.0,633.0,627.0,245.0,,,2.0,,,4.0,,5.0,,,3342.0,6359.0,8136.0,7818.0,8203.0,7420.0,6946.0,5154.0,1140.0,6458.0,4518.0,7669.0
US,Recreational Vehicle,19414.0,16261.0,25143.0,18768.0,20467.0,22415.0,22434.0,12880.0,13875.0,11990.0,24761.0,35410.0,18467.0,24784.0,26381.0,21777.0,18153.0,18285.0,22474.0,19346.0,27506.0,12367.0,23133.0,15712.0,16381.0,7737.0,11972.0,12715.0,14044.0,17812.0,21762.0,18266.0,14352.0,24032.0,24885.0,26602.0,22296.0,15009.0,18375.0,21775.0,21834.0,20185.0,23502.0,13131.0,17422.0,15192.0,16065.0,21588.0,17193.0,15415.0,23808.0,16108.0,12243.0,18634.0,23370.0,15602.0,23037.0,23657.0,18700.0,13664.0,17890.0,21526.0,26293.0,29423.0,16545.0,22395.0,21674.0,16358.0,16476.0,16465.0,19000.0,24235.0,23325.0,12221.0,18387.0,19468.0,18407.0,16701.0,24387.0,21688.0,19385.0,20895.0,24128.0,24093.0,33056.0,29697.0,31985.0,29103.0,28763.0,26013.0,27234.0,22619.0,20969.0,24759.0,33951.0,30920.0,34743.0,28607.0,30867.0,35909.0,28968.0,27885.0,26926.0,25099.0,21101.0,24986.0,13917.0,17383.0,23997.0,28574.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
