공장명(국가),차종,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12, 2025-01 , 2025-02 
인도, Verna (Hci),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 7,049 "," 8,763 "," 9,585 ","9,342 ","7,942 ","8,576 ","9,665 ","9,521 ", 957 , 570 , 893 , - , 317 ," 1,083 "," 1,906 ","2,015 ","2,228 ","2,166 ","1,487 ","1,036 "," 2,000 "," 2,047 "," 2,778 "," 2,552 "," 1,181 "," 2,181 "," 1,827 ","2,098 ",879 ,"2,438 ","1,648 ",982 ," 1,622 "," 1,058 "," 1,586 ", 781 ," 1,488 "," 1,703 "," 1,870 "," 1,734 "," 1,654 "," 2,179 "," 2,025 "," 1,538 ", 995 , 47 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
인도, Verna (BN7i),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - , - ," 3,755 "," 4,001 "," 3,687 "," 4,001 "," 2,858 "," 2,576 "," 2,610 "," 2,313 "," 1,701 ", 712 ," 2,168 "," 1,678 "," 1,712 "," 1,571 "," 1,381 "," 1,424 "," 1,420 "," 1,194 "," 1,198 "," 1,272 "," 1,213 ", 872 ," 1,477 "," 1,207 "
인도,Exter (AI3 SUV),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - , - , - , - , - , - ," 7,000 "," 7,430 "," 8,647 "," 8,097 "," 8,325 "," 7,514 "," 8,229 "," 7,582 "," 8,475 "," 7,756 "," 7,697 "," 6,908 "," 6,037 "," 6,632 "," 6,908 "," 7,127 "," 5,747 "," 5,270 "," 6,068 "," 5,361 "
인도, Venue (QXi),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 6,733 "," 10,321 "," 6,127 ", - ," 1,242 "," 4,129 "," 6,734 ","8,267 ","8,469 ","8,828 ","9,265 ","12,313 "," 11,779 "," 11,224 "," 10,722 "," 11,245 "," 4,840 "," 4,865 "," 8,185 ","8,377 ","7,924 ","10,554 ","7,932 ","10,360 "," 11,377 "," 10,212 "," 9,220 "," 8,392 "," 8,300 "," 10,321 "," 12,000 "," 11,240 "," 11,033 "," 9,585 "," 10,738 "," 8,285 "," 10,738 "," 9,997 "," 10,024 "," 10,342 "," 10,213 "," 11,606 "," 10,062 "," 10,948 "," 12,204 "," 11,581 "," 11,180 "," 10,383 "," 11,831 "," 8,933 "," 9,614 "," 9,120 "," 9,327 "," 9,890 "," 8,840 "," 9,085 "," 10,259 "," 10,901 "," 9,754 "," 10,265 "," 11,106 "," 10,125 "
인도, Creta (GSi),내수," 6,589 "," 8,196 "," 8,163 "," 7,900 "," 7,057 "," 7,700 "," 7,981 ","8,450 ","8,835 ","8,670 ","6,822 ","6,563 "," 7,918 "," 9,002 "," 10,001 "," 9,213 "," 8,377 "," 6,436 "," 10,556 ","10,158 ","9,292 ","9,248 ","8,528 ",114 ," 9,284 "," 9,278 "," 10,011 "," 9,390 "," 11,004 "," 11,111 "," 10,423 ","10,394 ","11,000 ","11,702 ","9,677 ","7,631 "," 10,314 "," 10,206 "," 11,448 "," 10,487 "," 9,054 "," 8,334 "," 6,585 ","6,001 ","6,641 ","7,269 ","6,684 ","6,713 "," 6,900 ", 188 , 3 , - , - , - , - ,- ,- ,- ,- ,- , - , - , - , - , - , - , - ,- ,- ,- ,- ,- ," 9,869 "," 9,606 "," 10,532 "," 12,651 "," 10,973 "," 13,790 "," 12,625 "," 12,577 "," 12,866 "," 11,880 "," 13,321 "," 10,205 ",,,,,,,,,,,,," 13,212 "," 15,276 "," 16,458 "," 15,447 "," 14,662 "," 16,293 "," 17,350 "," 16,762 "," 15,902 "," 17,497 "," 15,452 "," 12,608 "," 16,787 "," 15,356 "
인도, Creta(SU2i),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - , 512 ," 6,703 ", - ," 3,212 "," 7,207 "," 11,549 ","11,758 ","12,325 ","14,023 ","12,017 ","10,592 "," 12,284 "," 12,428 "," 12,640 "," 12,463 "," 7,527 "," 9,941 "," 13,000 ","12,597 ","8,193 ","6,455 ","10,300 ","7,609 ",,,,,,,,,,,,," 15,037 "," 10,421 "," 14,026 "," 14,186 "," 14,449 "," 14,447 "," 14,062 "," 13,832 "," 12,717 "," 13,077 "," 11,814 "," 9,243 ",,,,,,,,,,,,,,
인도, Creta (SU2i EV),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1,735 ", 961 
인도, Creta (SU2i LWB),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - , - , - , - ," 1,360 "," 3,103 "," 3,001 ","3,468 ","1,929 ","1,392 ","2,453 ","1,002 "," 3,168 "," 2,516 "," 2,502 "," 2,422 "," 1,947 "," 1,986 "," 2,888 "," 2,304 "," 2,643 "," 2,847 "," 2,566 "," 1,478 "," 1,537 "," 1,559 "," 2,519 "," 2,037 "," 2,443 "," 2,119 "," 1,443 "," 1,493 "," 1,977 "," 1,837 "," 1,913 ", 954 ," 1,827 "," 1,290 "," 1,420 "," 1,219 ", 944 , 882 , 585 ," 1,105 "," 2,712 "," 2,204 "," 2,134 "," 1,342 "," 1,310 "," 1,264 "
인도, Kona EV (OSi EV),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 25 , 17 ,88 ,47 ,50 ,53 ,12 , 39 , 32 , 14 , - , 4 , 16 , 26 ,26 ,29 ,13 ,- ,24 , 21 , 10 , 11 , 12 , 7 , 7 , 23 ,1 ,1 ,18 ,- ,10 , 7 , 43 , 2 , 50 , 64 , 179 , 53 , 102 , 112 , 106 , 95 , 120 , 40 , - , - , - , 84 , 75 , 60 , 91 , 69 , 44 , 19 , 19 , 102 , 86 , 71 , - , - , - , - , - , - , - , - , - , - , - 
인도, IONIQ5 (NEi),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - , 33 , 21 , 189 , 160 , 100 , 125 , 130 , 176 , 117 , 96 , 81 , 95 , 66 , 65 , 45 , 42 , 30 , 35 , 40 , 31 , 32 , 22 , 24 , 16 , 16 
인도,Tucson(TL),내수,,,,,,,,,,200 ,261 ,424 , 148 , 161 , 146 , 121 , 86 , 56 , 116 ,251 ,86 ,185 ,122 ,"6,755 ", 215 , 180 , 201 , 200 , 169 , 148 , 150 ,117 ,171 ,90 ,84 ,101 , 50 , 112 , 146 , 111 , 71 , 63 , 47 ,58 ,78 ,83 ,59 ,92 , 37 , - , - , - , - , 30 , 63 ,139 ,85 ,87 ,76 ,80 , 125 , 152 , 143 , 105 , 74 , 85 , 111 ,117 ,139 ,119 ,108 ,35 , 48 , 172 , 109 , 47 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,
인도, Tucson (NX4i),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - , - , - , - , - , - , 170 , 343 , 419 , 487 , 247 , 12 , 180 , 498 , 581 , 550 , 379 , 263 , 239 , 236 , 237 , 202 , 118 , 209 , 183 , 157 , 110 , 201 , 168 , 114 , 129 , 125 , 98 , 141 , 84 , 33 , 64 , 73 
인도,Santa-Fe,내수, 29 , 78 , 52 , 26 , 32 , 26 , 23 ,23 ,28 ,20 ,10 ,33 , 2 , 15 , 21 , 21 , 7 , 3 , 14 ,1 ,,,,156 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도,Eon,수출, 355 ," 1,493 "," 1,227 "," 2,047 "," 1,532 "," 1,945 "," 1,401 ","1,876 ",983 ,150 ,801 ,"1,231 ", 849 ," 1,443 ", 867 , 939 , 311 , 777 , 897 ,358 ,953 ,"1,050 ",130 ,826 , 190 , 175 , 207 , 227 , 553 , 237 , 322 ,132 ,472 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도, Santro (AH2),수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,30 , 260 , 90 , 308 , 241 , 612 , 633 , 758 ,"1,528 ","1,312 ","1,042 ",937 ,324 , 141 , 296 , 375 , 26 , 141 , 240 , 267 ,151 ,611 ,362 ,209 ,812 , 873 , 766 ," 1,258 "," 1,040 ", 326 ," 1,004 "," 1,856 ","1,031 ",897 ,478 ,733 ,"1,849 "," 1,589 ", 771 ," 1,329 "," 3,339 "," 1,573 ", 100 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,
인도,i10,수출, 391 , 353 , 403 ," 1,197 "," 1,139 "," 1,065 "," 1,042 ","1,296 ","2,425 ","4,876 ",95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
