지역명,공장명(국가),차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
아프리카,러시아(CKD 포함),K3 (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,CKD(모듈형 조립 방식),K4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),K4,0,,,,,,,,,,,,2025
아프리카,중국,K4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),K5 / Optima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),K5 / Optima,0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),K5 / Optima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,K5 / Optima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,K5 / Optima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,중국,K5 / Optima,0,,,,,,,,,,,,2025
아프리카,한국,K5 / Optima,13.0,2.0,15.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2024
아프리카,한국,K5 / Optima,0.0,,,,,,,,,,,,2025
아프리카,한국,K5 / Optima,1.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,5.0,20.0,8.0,11.0,2023
아프리카,CKD(모듈형 조립 방식),"K7, K8 / Cadenza",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),"K7, K8 / Cadenza",0.0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),"K7, K8 / Cadenza",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,한국,"K7, K8 / Cadenza",0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,"K7, K8 / Cadenza",0.0,,,,,,,,,,,,2025
아프리카,한국,"K7, K8 / Cadenza",0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,2023
아프리카,한국,K9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,K9,0.0,,,,,,,,,,,,2025
아프리카,한국,K9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,KX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,KX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,중국,KX1,0,,,,,,,,,,,,2025
아프리카,중국,KX3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2023
아프리카,중국,Seltos / KX3,7.0,18.0,120.0,45.0,35.0,134.0,121.0,206.0,66.0,176.0,164.0,111.0,2024
아프리카,중국,Seltos / KX3,180.0,,,,,,,,,,,,2025
아프리카,중국,KX5 / Sportage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,중국,KX7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2023
아프리카,특수 차량,Millitary,0.0,0.0,0.0,100.0,110.0,30.0,0.0,0.0,0.0,0.0,50.0,0.0,2023
아프리카,특수 차량,Millitary,0.0,0.0,0.0,52.0,0.0,50.0,50.0,0.0,0.0,0.0,57.0,58.0,2024
아프리카,특수 차량,Millitary,0.0,,,,,,,,,,,,2025
아프리카,특수 차량,Millitary (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,2023
아프리카,특수 차량,Millitary (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024
아프리카,특수 차량,Millitary (CKD),5.0,,,,,,,,,,,,2025
아프리카,한국,Mohave / Borrego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,Mohave / Borrego,0,,,,,,,,,,,,2025
아프리카,한국,Mohave / Borrego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,CKD(모듈형 조립 방식),Morning / Picanto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),Morning / Picanto,0.0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),Morning / Picanto,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,한국,Morning / Picanto,748.0,775.0,429.0,774.0,343.0,325.0,1087.0,1288.0,685.0,321.0,703.0,680.0,2024
아프리카,한국,Morning / Picanto,515.0,,,,,,,,,,,,2025
아프리카,한국,Morning / Picanto,1073.0,1152.0,462.0,1005.0,1050.0,856.0,783.0,1286.0,810.0,1201.0,876.0,724.0,2023
아프리카,CKD(모듈형 조립 방식),New Carens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(러시아 제외),New Carens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,CKD(모듈형 조립 방식),Niro,0.0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),Niro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,한국,Niro,34.0,42.0,67.0,51.0,39.0,24.0,25.0,34.0,35.0,70.0,65.0,106.0,2024
아프리카,한국,Niro,72.0,,,,,,,,,,,,2025
아프리카,한국,Niro,18.0,48.0,39.0,40.0,20.0,75.0,67.0,62.0,45.0,46.0,58.0,46.0,2023
아프리카,한국,Niro EV,3.0,1.0,28.0,6.0,10.0,4.0,12.0,2.0,1.0,4.0,0.0,5.0,2024
아프리카,한국,Niro EV,3.0,,,,,,,,,,,,2025
아프리카,한국,Niro EV,6.0,19.0,10.0,9.0,11.0,3.0,14.0,14.0,16.0,18.0,14.0,41.0,2023
아프리카,한국,Niro Plus,3.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,6.0,0.0,2.0,2024
아프리카,한국,Niro Plus,0.0,,,,,,,,,,,,2025
아프리카,한국,Niro Plus,3.0,7.0,4.0,8.0,10.0,6.0,4.0,1.0,0.0,1.0,1.0,2.0,2023
아프리카,한국,Niro Plus EV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2024
아프리카,한국,Niro Plus EV,0.0,,,,,,,,,,,,2025
아프리카,한국,Niro Plus EV,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2023
아프리카,미국,K5 / Optima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,미국,K5 / Optima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,미국,K5 / Optima,0.0,,,,,,,,,,,,2025
아프리카,한국,PV5,0.0,,,,,,,,,,,,2025
아프리카,CKD(모듈형 조립 방식),Pegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),Pegas,0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),Pegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,Pegas,271.0,179.0,236.0,104.0,79.0,175.0,184.0,40.0,142.0,94.0,79.0,115.0,2023
아프리카,중국,Pegas,191.0,162.0,110.0,327.0,80.0,246.0,507.0,353.0,203.0,94.0,345.0,201.0,2024
아프리카,중국,Pegas,103.0,,,,,,,,,,,,2025
아프리카,한국,Pride / Rio,2.0,0.0,2.0,9.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2024
아프리카,한국,Pride / Rio,0.0,,,,,,,,,,,,2025
아프리카,한국,Pride / Rio,512.0,855.0,546.0,971.0,444.0,667.0,838.0,214.0,409.0,608.0,306.0,163.0,2023
아프리카,"러시아
",Pride / Rio (FB),0,,,,,,,,,,,,2025
아프리카,러시아,Pride / Rio (FB),0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,2024
아프리카,러시아(CKD 포함),Pride / Rio (FB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,멕시코,Pride / Rio (SC),1.0,38.0,73.0,77.0,98.0,12.0,144.0,72.0,196.0,172.0,134.0,61.0,2023
아프리카,멕시코,Pride / Rio (SC),61.0,0.0,48.0,18.0,45.0,95.0,18.0,4.0,0.0,42.0,0.0,10.0,2024
아프리카,멕시코,Pride / Rio (SC),1.0,,,,,,,,,,,,2025
아프리카,한국,Ray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,Ray,0,,,,,,,,,,,,2025
아프리카,한국,Ray EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,Ray EV,0,,,,,,,,,,,,2025
아프리카,CKD(모듈형 조립 방식),Seltos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),Seltos,0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),Seltos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,Seltos,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,68.0,1.0,2023
아프리카,인도,Seltos,202.0,191.0,174.0,430.0,629.0,162.0,100.0,168.0,84.0,189.0,113.0,158.0,2024
아프리카,인도,Seltos,138.0,,,,,,,,,,,,2025
아프리카,인도,Seltos,441.0,499.0,733.0,517.0,659.0,345.0,313.0,318.0,467.0,340.0,423.0,427.0,2023
아프리카,한국,Seltos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,Seltos,0.0,,,,,,,,,,,,2025
아프리카,한국,Seltos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,러시아(CKD 포함),Seltos (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,CKD(모듈형 조립 방식),Sonet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),Sonet,0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),Sonet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,Sonet,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,Sonet,0,0.0,0.0,0.0,0.0,1.0,12.0,43.0,50.0,121.0,134.0,279.0,2024
아프리카,중국,Sonet,45.0,,,,,,,,,,,,2025
아프리카,인도,Sonet,534.0,683.0,710.0,174.0,256.0,604.0,924.0,841.0,1022.0,934.0,761.0,969.0,2024
아프리카,인도,Sonet,919.0,,,,,,,,,,,,2025
아프리카,인도,Sonet,353.0,473.0,348.0,397.0,279.0,680.0,432.0,934.0,989.0,525.0,1093.0,1101.0,2023
아프리카,CKD(모듈형 조립 방식),Sorento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),Sorento,0.0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),Sorento,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,한국,Sorento,40.0,45.0,35.0,161.0,78.0,94.0,178.0,77.0,156.0,135.0,115.0,129.0,2024
아프리카,한국,Sorento,62.0,,,,,,,,,,,,2025
아프리카,한국,Sorento,67.0,121.0,138.0,111.0,92.0,147.0,87.0,138.0,139.0,138.0,116.0,125.0,2023
아프리카,미국,Sorento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,미국,Sorento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,미국,Sorento,0.0,,,,,,,,,,,,2025
아프리카,러시아(CKD 포함),Sorento (CKD),0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,2023
아프리카,CKD(모듈형 조립 방식),Soul,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
