차종,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Bus,내수,125,111,146,132,133,143,141,87,95,96,125,166,104,138,157,122,118,162,135,103,118,85,124,108,111,85,119,122,107,80,143,103,88,117,135,119,122,84,112,124,125,119,124,88,99,97,117,127,106,61,86,63,70,85,49,30,23,31,25,29,31,31,37,39,30,52,47,17,16,41,69,68,62,50,50,56,63,112,78,92,106,90,64,64,71,96,126,114,110,120,127,102,111,91,129,106,122,100,127,122,118,122,113,110,94,124,123,132,101,114
Military,내수,92,8,23,26,50,276,158,155,185,219,209,209,141,2,,24,22,266,14,105,151,45,99,560,54,1,92,3,99,295,73,149,50,151,205,338,20,103,80,120,125,223,181,88,122,152,159,239,8,46,25,47,28,136,236,22,193,28,127,605,75,114,107,138,111,222,176,184,130,273,133,445,123,147,41,126,86,94,235,164,275,251,321,383,75,89,112,228,89,136,83,109,287,294,300,364,75,68,106,126,125,281,228,174,129,385,177,262,9,44
Seltos,내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3335,6109,6109,5511,6136,4801,3508,2869,6035,5597,5604,5536,3966,3277,3882,3344,3547,2316,3982,3585,3648,3491,3175,4071,3152,2724,2630,2429,3012,4191,3468,3538,4266,3364,2863,3261,4120,3610,3513,3150,3449,4493,3366,5552,3891,4119,4792,5224,4770,3512,4399,3008,4446,3758,3944,3967,4748,5025,6120,5399,5489,5551,4433,6822,4887,5512,4342,4764
Soul,내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,608,1166,943,688,503,367,175,176,198,178,243,79,51,113,120,183,166,83,69,74,75,109,142,90,71,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bongo,내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3580,8977,6806,5258,5269,4435,5665,3892,4480,4887,5855,3815,,,,,,,,,,,,,,
EV9,내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334,1251,408,1163,833,375,2688,449,124,183,174,182,113,161,92,122,159,144,109,37,88
K7 / K8,내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709,1528,2474,5017,5565,5473,6008,3170,3188,4181,4417,4011,2566,2932,2722,4176,3636,4012,4807,4257,3990,3613,3867,5072,3451,4168,4569,4011,4487,4469,3513,2457,2406,2248,2799,1859,2917,2165,2016,1988,1873,1519,1154,2711,4724,4977,4336,2354,2297,2457
EV9,내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,124,183,174,182,113,161,92,122,159,144,109,37,88
EV3,내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,4002,2022,2107,2284,461,429,2257
Morning / Picanto,수출,8763,8913,11830,11006,9139,13655,12673,10134,10217,11306,12832,13744,10091,12843,13003,12250,11502,12598,10926,11518,11976,11356,13615,10514,12908,10247,16221,16010,16229,16362,15668,12111,12443,16389,15950,12710,14497,12697,12836,14587,13917,11743,12547,8476,10717,11729,11499,11131,9786,4115,11959,5708,5284,7143,6569,6929,8119,10184,10443,9442,8149,6465,8257,10078,8084,9379,12390,7850,9934,12078,8447,13340,10379,9663,11130,7826,10340,9348,9527,8954,10649,10256,10449,10296,11149,13902,14822,12906,13604,12442,8568,6352,6053,6589,7520,7756,9795,8361,9050,9243,10810,10122,9786,8852,7989,11172,10298,8975,7802,9736
Pride / Rio,수출,15519,16706,22706,16854,13540,17953,17031,9224,9467,11448,18092,23671,11770,11438,12619,12521,12144,11177,8738,4743,3463,2262,3697,3845,4231,4282,5334,5216,5754,5633,4744,3667,4911,4945,5562,5133,4817,3249,4061,4537,4808,4037,5015,4368,4739,4643,5202,5143,5007,2784,6101,2305,1680,3341,4286,4088,3798,4001,4521,3677,4520,3702,5536,5826,4364,4197,3661,3022,3638,3065,4006,3620,4038,4121,4702,4117,4066,3609,6190,3533,3815,3969,5029,5873,5243,5451,6127,5022,4514,427,,,,,,,,,,,,,,,,,,,,
K3,수출,11556,12671,16626,7983,7798,7154,6010,6520,7738,5934,9613,10081,4978,5548,6209,5770,3872,3896,4967,4482,5931,3274,5628,4379,6281,3029,2169,3442,5078,3703,2910,3551,2511,5836,4744,6506,4517,2855,3922,3945,5757,4435,4963,4199,3555,4061,3834,3284,1433,1986,4240,1160,1103,2438,2477,2006,3607,2895,3006,1456,2181,2455,3848,3350,2127,3796,4091,2378,1675,1866,3222,2785,3271,1373,2480,2098,2367,2114,3939,1329,664,754,727,1166,1410,1619,2259,1453,1097,1039,1315,1570,2149,1787,3528,2200,2387,2483,2368,3760,3541,3162,2862,1324,40,136,100,100,,
K5 / Optima,수출,2212,4367,5187,5727,4803,5048,7248,3738,3881,5679,5599,8929,4830,5049,6211,6216,5223,5065,5364,4399,5839,3209,5682,4032,3138,4027,3555,3811,4259,3966,3610,4331,3745,3291,5873,4845,3718,3200,5509,5757,5939,4688,4949,2799,4566,4306,5642,677,5,666,3419,1791,58,1139,1929,3622,4137,3697,4626,2533,3258,3355,3685,3620,2877,3113,3221,1313,770,1010,1356,2100,2222,653,1211,1635,1305,932,2717,1718,1168,1562,1983,1927,1526,1710,1407,1195,1366,1135,1797,2168,1433,2780,1158,492,1139,835,4058,7410,9023,8467,8720,7801,7125,5934,2053,8328,5522,8559
K7 / Cadenza,수출,267,2,299,343,357,485,420,195,1110,818,1233,1702,1495,1929,1784,1971,1129,1330,2032,1462,1574,1135,1261,835,275,363,630,523,154,267,138,496,289,552,525,165,49,106,828,756,612,1189,13,,5,104,250,204,248,218,135,121,130,18,243,160,185,331,220,126,75,202,,1,54,142,199,59,104,124,61,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CK,수출,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stinger,수출,,,,,,,,,,,,,1,6,15,,23,2,862,863,1021,3297,5472,4151,3455,2595,3490,3028,2289,1331,2264,2266,2129,1941,2016,2375,2641,1184,1903,1682,1801,1399,1082,1955,1835,1442,1725,1220,862,475,1722,515,118,775,1335,1797,1368,1453,1447,985,1212,1502,1543,2093,1287,1368,1454,1343,1044,801,1603,1757,1340,1325,1138,1455,731,825,596,741,426,948,1662,2063,1618,1192,1219,933,56,12,,,,6,,,,,,,,,,,,,,,,
K9,수출,115,45,9,5,3,45,3,1,46,31,86,192,70,31,129,49,106,56,50,24,28,,29,7,27,10,2,,1,11,13,45,3,442,178,216,95,3,56,61,3,13,5,102,79,14,42,45,5,8,44,28,33,,10,15,,,1,1,3,1,72,48,3,,25,,2,,,73,27,23,,,48,1,,,52,,,,36,,24,1,,36,36,35,2,,1,1,,,8,,6,65,,,,,,,,
Stonic,수출,,,,,,,,,,,,,,,1,1,2,7,3368,6408,7355,4300,7204,4888,4554,4346,4638,5311,4688,4578,4278,3956,5356,5038,7347,6364,6719,5786,6593,7869,7878,7075,7980,6024,6312,7044,8224,6373,4223,1744,4968,3652,2182,4376,4198,4746,5075,6022,7352,5350,7326,6221,9982,7584,6231,7339,5731,4418,5070,4958,5573,6143,7287,6437,7482,8493,7938,6438,10272,6034,6569,6729,6689,8640,7499,7685,8760,8186,7766,3285,5031,7021,6344,8070,9052,7883,6703,6191,8218,6326,7850,7061,6751,6879,6252,7473,6159,6917,4482,6311
Niro,수출,,,,,,,,,,,,,4773,7341,7455,8423,7040,8118,8485,8051,9268,5492,8654,6634,5685,4514,9839,5034,6463,7905,7091,6737,4416,9935,11156,9434,10446,7487,7669,9354,9344,8188,9753,7330,9552,8474,10410,8323,5716,7259,11265,8872,9677,10297,10907,7566,11268,11950,11442,8788,13133,9618,11219,10433,9451,9872,9046,7561,7335,7584,11172,13000,10148,8798,11203,6347,8244,7577,12520,9485,9855,11486,11638,9348,10557,11993,12919,11563,12937,12825,11997,9315,9541,9307,13793,11824,12662,9797,11168,11179,9074,10854,8502,6710,9245,9235,8671,7333,9293,10407
Niro Plus,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,14,,,3,,1,,,,152,,
Sportage,수출,9467,9763,16571,13324,13823,15729,15361,8765,9195,9205,16184,19759,11580,15451,17465,15366,12788,12964,14144,12596,13532,8388,12311,8528,12340,9551,13430,13896,13181,11722,13169,10190,10342,12708,14358,12694,13205,9310,13426,14374,14814,13410,13357,8147,11900,10952,10849,9527,8391,7336,11574,4930,4666,8124,9876,9008,12833,11685,10555,7174,7923,10350,10984,14470,8944,10915,8522,4553,6654,7544,8260,10680,7104,5103,5307,8156,9977,7639,9685,8694,7824,8282,8278,7806,10929,11825,13444,11661,10756,10845,11815,10257,10531,10134,12159,11934,14744,10842,11500,12798,12165,12553,11618,12049,8153,10279,8303,11529,10293,11317
Sorento,수출,3044,3452,3800,3852,4333,4316,4300,2681,2607,3922,5028,6205,3031,3072,4501,3905,4008,3504,3076,2493,4522,2083,3775,2762,1871,2942,6008,4339,3694,4977,3186,3155,1654,3499,3943,3801,4441,3388,4619,5093,4391,4403,4099,3423,3048,4266,2732,3201,2344,5791,1831,191,21,1100,5572,3009,2807,5563,5175,3428,4855,5848,4870,5122,5251,5308,3541,4508,4570,3693,4066,4646,6181,4541,4089,5256,6151,4593,4338,5432,5717,6206,6769,6917,7368,7605,8434,8180,8215,9114,8826,4995,1926,2488,8416,6335,5417,6470,5904,8810,7834,7844,7509,3670,5746,6789,5816,6733,6334,6261
Mohave / Borrego,수출,52,1,141,145,112,35,57,9,34,60,198,380,102,279,576,336,528,123,237,162,161,132,213,103,164,154,279,194,69,310,4,212,93,,10,281,232,,108,168,163,256,80,,,,,,,,,7,,,108,108,108,72,72,180,108,288,,108,144,216,144,108,,108,180,,36,211,,,,,,-72,,,72,429,,1,,,,,,,198,,,,,54,33,90,,3,,114,,,,,,
New Soul,수출,13877,12831,16952,14122,14295,15476,14784,8985,10911,10448,16637,20414,10278,14103,16061,13124,13000,12510,15484,13177,16131,9862,15063,12605,11714,6418,11065,9778,14452,12738,14215,11489,11630,16852,16723,14761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Carens,수출,1976,1876,2696,2572,2533,2276,2786,1125,976,1172,1616,1304,2040,2402,2190,2106,1983,2052,1768,1576,1265,1051,1513,1583,2489,2332,2749,3408,2288,2327,785,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnival / Sedona,수출,3678,4782,4871,4699,3814,6785,5822,3248,1965,4066,3469,4024,4249,5417,5364,5257,3936,4756,4356,4256,5254,1231,2785,1724,1001,1315,1703,3270,2340,2553,2801,2249,2858,3394,3558,3406,4201,2843,4367,4217,3416,3506,4376,2716,2957,2959,3322,2317,1704,865,2984,2058,1867,4263,2625,155,165,338,934,1446,2958,4814,5053,5223,4057,5468,4285,3545,2866,2446,3314,2255,3830,1957,3698,5243,4796,3233,4119,3119,1938,3251,6076,5566,6371,5376,6162,7306,8862,7593,6969,5871,4724,5850,5407,3780,6291,4627,5423,9705,7521,7831,8373,9224,6673,8977,5040,8285,6600,8590
BongoⅢ (Truck),수출,2628,2304,4002,2514,2021,2247,2067,1167,2893,2577,4285,6384,1587,3188,3675,2418,2717,3531,3445,2882,3179,2082,3247,2588,2489,1408,3236,3240,2891,2422,2624,2778,1920,2635,4044,2753,3357,2314,2653,3596,2592,2148,2820,2533,2054,1098,2491,1975,3805,1453,2438,1988,1341,1503,1255,2189,3517,3030,2774,1653,3144,2856,2444,3311,2575,2733,3722,2464,2070,2474,2938,3677,2875,2626,2322,3143,3887,2987,2897,1839,2040,2187,2316,3882,3014,3134,3003,2919,2775,2635,3987,2437,3636,3010,3097,3285,4491,3247,4445,2920,2918,3067,3057,2897,2704,3111,3104,2961,2758,2725
Bus,수출,1,,1,,,,,,,,3,,,,,,4,6,,12,16,,,,,8,,,,6,,4,,,3,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military,수출,88,200,,192,20,,,3,,65,38,,35,155,28,2,1,3,,2,2,,305,43,48,34,51,,,101,,37,,3,10,56,,,,50,5,80,,100,118,50,1,,186,74,1,10,,100,,9,22,,,120,4,100,,50,,13,103,50,22,,,100,,,20,100,,11,,,2,,80,89,,,21,100,110,30,,,,,63,30,10,3,25,52,14,50,51,,,,57,68,,71
