Model,Vehicle Type,Sales Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Sonata (DN8 HEV),PC,Export, 935 , 736 ," 2,902 "," 2,584 "," 2,975 "," 2,390 "," 2,014 "," 2,378 "," 1,980 "," 1,373 "," 1,025 "," 1,577 "
Grandeur (IG),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Grandeur (IG HEV),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Grandeur (GN7),PC,Export, 15 , 175 , 223 , 213 , 50 , 380 , 429 , 467 , 272 , 523 , 396 , 385 
Grandeur (GN7 HEV),PC,Export, 3 , 88 , 226 , 78 , 11 , - , 5 , - , 7 , - , - , - 
IONIQ 6 (CE),PC,Export, 483 , 585 ," 2,208 "," 2,209 "," 3,292 "," 2,406 "," 2,834 "," 2,370 "," 2,719 ", 814 ," 1,461 "," 1,596 "
G70 (IK),PC,Export," 1,428 ", 880 ," 1,565 "," 1,277 "," 1,097 "," 1,053 ", 745 , 980 ," 1,281 ", 967 ," 1,038 "," 1,470 "
G70 S/B (IK S/B),PC,Export, 10 , 20 , 30 , 11 , 5 , 8 , - , 1 , - , 20 , 8 , 8 
G80 (RG3),PC,Export, 673 , 104 , 683 , 730 , 584 , 510 , 664 , 582 , 529 , 699 , 453 , 693 
G80 (RG3 EV),PC,Export, 72 , 16 , 105 , 37 , 20 , 12 , 12 , 7 , 3 , 1 , 1 , - 
G90 (HI),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
G90 (RS4),PC,Export, 259 , 44 , 107 , 165 , 237 , 307 , 198 , 148 , 153 , 140 , 138 , 184 
Casper (AX),RV,Export, - , - , - , - , 2 , - , - , - , - , - , - , - 
Casper EV (AX EV),RV,Export, - , - , - , - , 3 , 5 , 1 , - , 2 , 881 ," 3,593 "," 4,172 "
Venue (QX),RV,Export," 5,930 "," 3,189 "," 5,922 "," 5,266 "," 3,712 "," 4,580 "," 3,567 "," 3,329 "," 4,949 "," 5,825 "," 5,553 "," 5,424 "
Kona (OS),RV,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Kona (OS HEV),RV,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Kona (OS EV),RV,Export, - , - , - , - , - , - , - , - , - , - , - , 40 
Kona N (OS N),RV,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Kona (SX2),RV,Export," 14,861 "," 12,539 "," 11,660 "," 12,371 "," 10,379 "," 9,745 "," 9,697 "," 11,445 "," 10,972 "," 11,456 "," 7,651 "," 14,021 "
Kona (SX2 HEV),RV,Export," 3,858 "," 4,965 "," 6,716 "," 7,186 "," 6,871 "," 6,328 "," 5,751 "," 5,191 "," 5,074 "," 6,525 "," 5,300 "," 6,588 "
Kona (SX2 EV),RV,Export," 1,513 "," 1,298 "," 1,407 "," 1,698 "," 1,400 "," 1,665 "," 1,126 ", 726 ," 1,066 ", 782 , 692 ," 1,729 "
Tucson (TL),RV,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Tucson (NX4),RV,Export," 5,214 "," 5,082 "," 5,459 "," 4,811 "," 2,781 "," 3,661 "," 2,942 "," 3,679 "," 3,624 "," 3,254 "," 3,728 "," 3,353 "
Tucson (NX4 HEV),RV,Export," 6,998 "," 7,566 "," 6,888 "," 7,233 "," 8,475 "," 7,319 "," 7,315 "," 8,864 "," 8,868 "," 7,947 "," 7,121 "," 8,953 "
Tucson (NX4 PHEV),RV,Export, 944 , 966 , 917 ," 1,104 ", 980 , 931 , 851 , 849 , 530 , 440 , 827 , 697 
NEXO (FE),RV,Export, 4 , 1 , 1 , 3 , - , - , 11 , - , 2 , - , - , 1 
IONIQ 5 (NE),RV,Export," 7,561 "," 6,133 "," 7,385 "," 6,397 "," 7,928 "," 6,086 "," 7,281 "," 3,654 "," 6,314 "," 5,011 "," 2,005 "," 2,472 "
IONIQ 5 N (NE N),RV,Export, 980 , 880 ," 1,007 ", 851 , 296 , 365 , 311 , 290 , 375 , 496 , 231 , 294 
IONIQ New Car (ME),RV,Export, - , - , - , - , - , 1 , 2 , 1 , - , 2 , 1 , 1 
Santa-Fe (TM),RV,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Santa-Fe (TM HEV),RV,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Santa-Fe (TM PHEV),RV,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Santa-Fe (MX5),RV,Export," 1,714 "," 1,885 ", 982 ," 1,244 ", 799 ," 1,801 "," 1,024 "," 1,569 "," 1,866 "," 1,304 "," 1,231 "," 1,661 "
Santa-Fe (MX5 HEV),RV,Export, - , 1 , 667 ," 2,837 "," 2,339 "," 2,184 "," 1,733 "," 1,384 "," 1,899 "," 1,866 "," 1,832 "," 1,721 "
Santa-Fe (MX5 PHEV),RV,Export, - , - , - ," 1,055 ", 823 , 865 , 592 , 387 , 502 , 618 , 460 , 458 
Palisade (LX2),RV,Export," 13,121 "," 11,883 "," 10,199 "," 12,138 "," 11,807 "," 12,215 "," 9,986 "," 11,299 "," 9,579 "," 13,682 "," 13,991 "," 13,179 "
GV60 (JW),RV,Export, 246 , 558 , 242 , 466 , 310 , 359 , 209 , 164 , 204 , 281 , 395 , 262 
GV70 (JK),RV,Export, 940 , 432 ," 2,466 "," 2,612 "," 1,740 "," 1,073 ", 973 ," 1,604 "," 1,906 "," 2,100 "," 1,255 "," 1,082 "
GV70 EV (JK EV),RV,Export, 84 , 242 , 306 , 56 , 43 , 152 , 23 , 27 , 11 , 28 , 7 , 29 
GV80 (JX),RV,Export," 2,410 "," 1,158 "," 2,075 "," 2,737 "," 3,042 "," 2,115 "," 1,633 "," 1,896 "," 1,068 "," 2,345 "," 2,490 "," 2,345 "
GV80 Coupe (JX Coupe),RV,Export, - , 22 , 149 , 453 , 472 , 295 , 278 , 320 , 278 , 374 , 303 , 399 
LCV,CV,Export," 4,620 "," 4,742 "," 4,052 "," 4,220 "," 2,526 "," 3,370 "," 2,988 "," 3,490 "," 3,007 "," 3,552 "," 3,431 "," 3,364 "
HCV,CV,Export, 412 , 569 , 490 , 554 , 474 , 526 , 446 , 311 , 496 , 359 , 427 , 313 
