통계표,코드(계정항목),계정항목,코드(측정항목),측정항목,단위,변환,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
3.1.2.1. 주요국 통화의 대원화환율,37,원/인도루피,200,말일자료,원 ,원자료,16.01,16.09,16.15,16.52,16.52,16.65,16.53,15.92,15.76,16.45,16.51,17.19,16.56,16.48
3.1.2.1. 주요국 통화의 대원화환율,38,원/파키스탄루피,100,평균자료,원 ,원자료,4.73,4.77,4.78,4.92,4.9,4.95,4.97,4.86,4.8,4.9,5.01,5.16,5.22,5.18
3.1.2.1. 주요국 통화의 대원화환율,38,원/파키스탄루피,200,말일자료,원 ,원자료,4.76,4.77,4.84,4.95,4.94,4.99,4.97,4.79,4.75,4.98,5.02,5.28,5.14,5.15
3.1.2.1. 주요국 통화의 대원화환율,39,원/방글라데시타카,100,평균자료,원 ,원자료,12.06,12.13,12.13,12.46,11.85,11.75,11.77,11.45,11.17,11.39,11.66,12,11.97,11.89
3.1.2.1. 주요국 통화의 대원화환율,39,원/방글라데시타카,200,말일자료,원 ,원자료,12.12,12.15,12.27,12.56,11.72,11.82,11.78,11.17,11.04,11.58,11.67,12.3,11.75,11.85
3.1.2.1. 주요국 통화의 대원화환율,40,원/멕시코 페소,100,평균자료,원 ,원자료,77.53,77.9,79.32,81.46,81.35,75.84,76.44,70.68,67.84,69.04,68.69,70.82,70.76,70.57
3.1.2.1. 주요국 통화의 대원화환율,40,원/멕시코 페소,200,말일자료,원 ,원자료,77.57,78,81.09,81.02,80.94,75.22,73.82,67.26,67.07,68.56,68.29,71.17,69.21,70.28
3.1.2.1. 주요국 통화의 대원화환율,41,원/브라질 헤알,100,평균자료,원 ,원자료,269.44,268.47,267.21,266.97,265.62,256.36,249.65,243.59,240.39,241.78,240.51,235.24,240.28,250.76
3.1.2.1. 주요국 통화의 대원화환율,41,원/브라질 헤알,200,말일자료,원 ,원자료,268.8,268.52,268.53,269.38,264.53,252.52,246.7,237.22,242.81,240.04,231.85,237.94,243.96,246.48
3.1.2.1. 주요국 통화의 대원화환율,42,원/아르헨티나페소,100,평균자료,원 ,원자료,1.62,1.6,1.57,1.58,1.54,1.53,1.5,1.44,1.39,1.39,1.39,1.41,1.4,1.37
3.1.2.1. 주요국 통화의 대원화환율,42,원/아르헨티나페소,200,말일자료,원 ,원자료,1.61,1.58,1.57,1.57,1.54,1.52,1.49,1.41,1.37,1.4,1.38,1.43,1.36,1.36
3.1.2.1. 주요국 통화의 대원화환율,16,원/스웨덴크로나,100,평균자료,원 ,원자료,127.92,127.84,127.97,126.51,127.05,131.62,130.15,130.17,130.4,129.76,128.03,130.56,131,133.73
